Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,,C,C1 C2 C3 C4 C5 C6,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,6,
2,,DIODE,D1 D2 D3 D4 D5 D6 D7,DIODE,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,7,
3,,RPi_GPIO,J2,RPi_GPIO,Pin_Header_Straight_2x20,1,
4,,CONN_3,K1,CONN_3,PinHeader_1x03_P2.54mm_Vertical,1,
5,,CONN_12,P1,CONN_12,"TerminalBlock_Phoenix_MPT-0,5-12-2.54_1x12_P2.54mm_Horizontal",1,
6,,CONN_2,P2,CONN_2,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",1,
7,,R,R1 R2 R3 R4 R5 R6,12k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,6,
8,"Resistor, small symbol",R_Small,R22 R23 R24 R25 R26 R27,191,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,6,~
9,,R,R19,1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,
10,,R,R13 R14 R15 R16 R17 R18,22k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,6,
11,,R,R20 R21,3.9k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,
12,,R,R7 R8 R9 R10 R11 R12,39k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,6,
13,,40106,U1,40106,SOIC-14_3.9x8.7mm_P1.27mm,1,
14,,CAT24C32,U2,CAT24C32,SOIC-8_3.9x4.9mm_P1.27mm,1,
15,"Dual AC/DC Optocoupler, Vce 35V, CTR 20%, DIP8",LTV-824,U3 U4 U5,LTV-824,DIP-8_W7.62mm,3,"http://optoelectronics.liteon.com/upload/download/DS-70-96-0013/S_110_LTV-814%20824%20844%20(M,%20S,%20S-TA,%20S-TA1,%20S-TP)%20Series.pdf"





Component Groups:,15
Component Count:,49
Fitted Components:,49
Number of PCBs:,1
Total components:,49
Schematic Version:,
Schematic Date:,
BoM Date:,2018/11/30 13:33:20
Schematic Source:,E:\Projects\debounce_shield\kicad\debounce_shield.sch
KiCad Version:,Eeschema (5.0.1)-rc2
